value,source,target
.4010015,"Animal contact","Dislocation of hip"
2.726298,"Exposure to mechanical forces","Dislocation of hip"
.2221192,"Interpersonal violence","Dislocation of hip"
.008362,"Foreign body in other body part","Dislocation of hip"
2.073658,"Pedestrian road injuries by road vehicle","Dislocation of hip"
13.59801,"Road injuries","Dislocation of hip"
.1358591,"Other road injuries","Dislocation of hip"
.5377747,"Fire, heat, and hot substances","Dislocation of hip"
.0248115,"Self-harm","Dislocation of hip"
3.617115,"Other transport injuries","Dislocation of hip"
.1163241,"Drowning","Dislocation of hip"
.1329804,"Venomous animal contact","Dislocation of hip"
7.752331,"Motor vehicle road injuries","Dislocation of hip"
10.69947,"Other unintentional injuries","Dislocation of hip"
.4879043,"Unintentional suffocation","Dislocation of hip"
.0046336,"Poisonings","Dislocation of hip"
.3766982,"Cyclist road injuries","Dislocation of hip"
.0019469,"Foreign body in eyes","Dislocation of hip"
.268021,"Non-venomous animal contact","Dislocation of hip"
.0373608,"Unintentional firearm injuries","Dislocation of hip"
2.201033,"Other exposure to mechanical forces","Dislocation of hip"
3.25946,"Motorcyclist road injuries","Dislocation of hip"
.1352654,"Assault by other means","Dislocation of hip"
.0756097,"Assault by sharp object","Dislocation of hip"
7.39931,"Falls","Dislocation of hip"
.0112441,"Assault by firearm","Dislocation of hip"
.0043889,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
2.211157,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
14.04317,"Other transport injuries","Dislocation of knee"
98.79398,"Falls","Dislocation of knee"
.1659621,"Foreign body in eyes","Dislocation of knee"
.1411985,"Self-harm","Dislocation of knee"
4.988744,"Venomous animal contact","Dislocation of knee"
.4517797,"Assault by sharp object","Dislocation of knee"
11.74856,"Fire, heat, and hot substances","Dislocation of knee"
44.97195,"Road injuries","Dislocation of knee"
12.58532,"Drowning","Dislocation of knee"
.0006132,"Unintentional suffocation","Dislocation of knee"
20.87858,"Other exposure to mechanical forces","Dislocation of knee"
.4654766,"Other road injuries","Dislocation of knee"
7.451887,"Motor vehicle road injuries","Dislocation of knee"
13.84754,"Other unintentional injuries","Dislocation of knee"
21.86683,"Exposure to mechanical forces","Dislocation of knee"
.3190528,"Assault by firearm","Dislocation of knee"
6.889194,"Non-venomous animal contact","Dislocation of knee"
12.82291,"Pedestrian road injuries by road vehicle","Dislocation of knee"
.4088945,"Poisonings","Dislocation of knee"
.0905452,"Foreign body in other body part","Dislocation of knee"
11.87794,"Animal contact","Dislocation of knee"
3.627947,"Cyclist road injuries","Dislocation of knee"
1.707375,"Interpersonal violence","Dislocation of knee"
.9876341,"Unintentional firearm injuries","Dislocation of knee"
20.60374,"Motorcyclist road injuries","Dislocation of knee"
.936542,"Assault by other means","Dislocation of knee"
.0669425,"Foreign body in eyes","Dislocation of shoulder"
7.854665,"Interpersonal violence","Dislocation of shoulder"
73.2721,"Other exposure to mechanical forces","Dislocation of shoulder"
84.133,"Drowning","Dislocation of shoulder"
2.111563,"Self-harm","Dislocation of shoulder"
1.845013,"Assault by sharp object","Dislocation of shoulder"
65.58764,"Animal contact","Dislocation of shoulder"
303.6963,"Falls","Dislocation of shoulder"
168.1117,"Road injuries","Dislocation of shoulder"
27.32087,"Cyclist road injuries","Dislocation of shoulder"
7.009216,"Other road injuries","Dislocation of shoulder"
26.52975,"Other unintentional injuries","Dislocation of shoulder"
5.109547,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
3.281773,"Poisonings","Dislocation of shoulder"
.1833386,"Foreign body in other body part","Dislocation of shoulder"
78.96117,"Exposure to mechanical forces","Dislocation of shoulder"
39.40809,"Non-venomous animal contact","Dislocation of shoulder"
37.88823,"Motor vehicle road injuries","Dislocation of shoulder"
5.841736,"Assault by other means","Dislocation of shoulder"
68.70216,"Motorcyclist road injuries","Dislocation of shoulder"
4.940372,"Unintentional firearm injuries","Dislocation of shoulder"
.1679146,"Assault by firearm","Dislocation of shoulder"
31.55365,"Other transport injuries","Dislocation of shoulder"
26.17955,"Venomous animal contact","Dislocation of shoulder"
.7487122,"Unintentional suffocation","Dislocation of shoulder"
43.04449,"Fire, heat, and hot substances","Dislocation of shoulder"
27.19116,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
.798691,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
20.15742,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
4.116445,"Self-harm","Other injuries of muscle & tendon and other dislocations"
2.926836,"Other road injuries","Other injuries of muscle & tendon and other dislocations"
16.82077,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
193.6031,"Falls","Other injuries of muscle & tendon and other dislocations"
156.6263,"Road injuries","Other injuries of muscle & tendon and other dislocations"
209.8546,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
