value,source,target
.7609451,"Unintentional suffocation","Dislocation of hip"
.2115196,"Non-venomous animal contact","Dislocation of hip"
14.21991,"Other unintentional injuries","Dislocation of hip"
4.216634,"Other transport injuries","Dislocation of hip"
.0027849,"Foreign body in eyes","Dislocation of hip"
18.46125,"Road injuries","Dislocation of hip"
.5418941,"Fire, heat, and hot substances","Dislocation of hip"
.3160597,"Animal contact","Dislocation of hip"
.0065363,"Poisonings","Dislocation of hip"
.0527091,"Unintentional firearm injuries","Dislocation of hip"
2.976021,"Other exposure to mechanical forces","Dislocation of hip"
.0060402,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.1705538,"Assault by other means","Dislocation of hip"
10.5643,"Motor vehicle road injuries","Dislocation of hip"
.2861375,"Interpersonal violence","Dislocation of hip"
.1045402,"Venomous animal contact","Dislocation of hip"
.1741813,"Drowning","Dislocation of hip"
.1643051,"Other road injuries","Dislocation of hip"
10.52286,"Falls","Dislocation of hip"
2.879182,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0257139,"Self-harm","Dislocation of hip"
.1012053,"Assault by sharp object","Dislocation of hip"
.5364528,"Cyclist road injuries","Dislocation of hip"
.0143786,"Assault by firearm","Dislocation of hip"
4.317007,"Motorcyclist road injuries","Dislocation of hip"
3.789675,"Exposure to mechanical forces","Dislocation of hip"
.0118709,"Foreign body in other body part","Dislocation of hip"
.3633533,"Assault by firearm","Dislocation of knee"
10.45965,"Motor vehicle road injuries","Dislocation of knee"
11.55641,"Fire, heat, and hot substances","Dislocation of knee"
4.526732,"Non-venomous animal contact","Dislocation of knee"
1.978082,"Interpersonal violence","Dislocation of knee"
12.0068,"Drowning","Dislocation of knee"
17.31075,"Other unintentional injuries","Dislocation of knee"
2.21862,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
.1357803,"Self-harm","Dislocation of knee"
.5708064,"Other road injuries","Dislocation of knee"
25.83849,"Motorcyclist road injuries","Dislocation of knee"
.1154939,"Foreign body in other body part","Dislocation of knee"
28.01691,"Exposure to mechanical forces","Dislocation of knee"
1.286647,"Unintentional firearm injuries","Dislocation of knee"
14.71339,"Other transport injuries","Dislocation of knee"
.2126395,"Foreign body in eyes","Dislocation of knee"
128.4424,"Falls","Dislocation of knee"
1.022906,"Assault by other means","Dislocation of knee"
.0007836,"Unintentional suffocation","Dislocation of knee"
26.72948,"Other exposure to mechanical forces","Dislocation of knee"
.5197688,"Poisonings","Dislocation of knee"
59.38064,"Road injuries","Dislocation of knee"
4.695808,"Cyclist road injuries","Dislocation of knee"
.5918229,"Assault by sharp object","Dislocation of knee"
3.430798,"Venomous animal contact","Dislocation of knee"
