value,source,target
4.308577,"Motor vehicle road injuries","Dislocation of hip"
9.088028,"Falls","Dislocation of hip"
.302765,"Non-venomous animal contact","Dislocation of hip"
1.046589,"Motorcyclist road injuries","Dislocation of hip"
.0182876,"Self-harm","Dislocation of hip"
.0138907,"Foreign body in other body part","Dislocation of hip"
.0891309,"Interpersonal violence","Dislocation of hip"
.4139287,"Unintentional suffocation","Dislocation of hip"
1.453627,"Exposure to mechanical forces","Dislocation of hip"
.0598275,"Unintentional firearm injuries","Dislocation of hip"
.0406534,"Other road injuries","Dislocation of hip"
.006986,"Assault by firearm","Dislocation of hip"
1.543158,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.3618625,"Animal contact","Dislocation of hip"
.0043169,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.0389124,"Assault by sharp object","Dislocation of hip"
.0432325,"Assault by other means","Dislocation of hip"
.7845927,"Fire, heat, and hot substances","Dislocation of hip"
.0590976,"Venomous animal contact","Dislocation of hip"
.3624088,"Drowning","Dislocation of hip"
7.244477,"Road injuries","Dislocation of hip"
.3055029,"Cyclist road injuries","Dislocation of hip"
.9798708,"Other exposure to mechanical forces","Dislocation of hip"
.0037584,"Poisonings","Dislocation of hip"
.0029818,"Foreign body in eyes","Dislocation of hip"
2.037464,"Other transport injuries","Dislocation of hip"
10.85621,"Other unintentional injuries","Dislocation of hip"
20.86908,"Road injuries","Dislocation of knee"
4.19648,"Motor vehicle road injuries","Dislocation of knee"
1.295438,"Venomous animal contact","Dislocation of knee"
100.3535,"Falls","Dislocation of knee"
.1188862,"Self-harm","Dislocation of knee"
1.580637,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
9.012313,"Other unintentional injuries","Dislocation of knee"
.4338119,"Assault by sharp object","Dislocation of knee"
.2424617,"Foreign body in eyes","Dislocation of knee"
7.689348,"Drowning","Dislocation of knee"
14.93305,"Exposure to mechanical forces","Dislocation of knee"
.827464,"Assault by other means","Dislocation of knee"
10.97855,"Other transport injuries","Dislocation of knee"
3.498149,"Animal contact","Dislocation of knee"
13.77334,"Other exposure to mechanical forces","Dislocation of knee"
1.426546,"Interpersonal violence","Dislocation of knee"
.2855521,"Other road injuries","Dislocation of knee"
.1652696,"Assault by firearm","Dislocation of knee"
2.811052,"Cyclist road injuries","Dislocation of knee"
.0002599,"Unintentional suffocation","Dislocation of knee"
2.20271,"Non-venomous animal contact","Dislocation of knee"
5.74185,"Fire, heat, and hot substances","Dislocation of knee"
1.159438,"Unintentional firearm injuries","Dislocation of knee"
.082842,"Foreign body in other body part","Dislocation of knee"
8.008633,"Pedestrian road injuries by road vehicle","Dislocation of knee"
.4461372,"Poisonings","Dislocation of knee"
5.567357,"Motorcyclist road injuries","Dislocation of knee"
59.38609,"Road injuries","Dislocation of shoulder"
1.694884,"Other road injuries","Dislocation of shoulder"
3.41718,"Unintentional firearm injuries","Dislocation of shoulder"
184.8938,"Falls","Dislocation of shoulder"
2.657841,"Assault by other means","Dislocation of shoulder"
11.73252,"Animal contact","Dislocation of shoulder"
.1667192,"Foreign body in other body part","Dislocation of shoulder"
6.51297,"Non-venomous animal contact","Dislocation of shoulder"
13.04548,"Other unintentional injuries","Dislocation of shoulder"
35.39535,"Fire, heat, and hot substances","Dislocation of shoulder"
28.79135,"Exposure to mechanical forces","Dislocation of shoulder"
13.60862,"Motorcyclist road injuries","Dislocation of shoulder"
10.03364,"Cyclist road injuries","Dislocation of shoulder"
.1121739,"Assault by firearm","Dislocation of shoulder"
18.82401,"Other transport injuries","Dislocation of shoulder"
.9128865,"Unintentional suffocation","Dislocation of shoulder"
18.59079,"Drowning","Dislocation of shoulder"
5.219547,"Venomous animal contact","Dislocation of shoulder"
1.068854,"Assault by sharp object","Dislocation of shoulder"
18.55093,"Motor vehicle road injuries","Dislocation of shoulder"
.5621637,"Self-harm","Dislocation of shoulder"
.0921103,"Foreign body in eyes","Dislocation of shoulder"
2.696568,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
3.838868,"Interpersonal violence","Dislocation of shoulder"
2.343367,"Poisonings","Dislocation of shoulder"
24.46128,"Other exposure to mechanical forces","Dislocation of shoulder"
15.498,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
1.57506,"Self-harm","Other injuries of muscle & tendon and other dislocations"
101.0426,"Road injuries","Other injuries of muscle & tendon and other dislocations"
1.910056,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations"
2.343735,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations"
170.752,"Falls","Other injuries of muscle & tendon and other dislocations"
3.743516,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
34.58991,"Pedestrian road injuries by road vehicle","Other injuries of muscle & tendon and other dislocations"
8.282632,"Interpersonal violence","Other injuries of muscle & tendon and other dislocations"
100.4455,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
.2164912,"Poisonings","Other injuries of muscle & tendon and other dislocations"
10.86936,"Drowning","Other injuries of muscle & tendon and other dislocations"
.435081,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
1.477517,"Other road injuries","Other injuries of muscle & tendon and other dislocations"
5.003183,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations"
7.572057,"Animal contact","Other injuries of muscle & tendon and other dislocations"
14.83349,"Other unintentional injuries","Other injuries of muscle & tendon and other dislocations"
8.047377,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations"
3.828542,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
18.62068,"Motorcyclist road injuries","Other injuries of muscle & tendon and other dislocations"
16.01149,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
3.978491,"Assault by other means","Other injuries of muscle & tendon and other dislocations"
.2767673,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations"
11.98407,"Other transport injuries","Other injuries of muscle & tendon and other dislocations"
3.958188,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations"
38.30711,"Motor vehicle road injuries","Other injuries of muscle & tendon and other dislocations"
105.8838,"Exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
.3459515,"Assault by firearm","Other injuries of muscle & tendon and other dislocations"
3.64081,"Assault by other means","Fracture of clavicle, scapula, or humerus"
22.31214,"Other transport injuries","Fracture of clavicle, scapula, or humerus"
4.134387,"Unintentional firearm injuries","Fracture of clavicle, scapula, or humerus"
.1516027,"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus"
.3445116,"Assault by firearm","Fracture of clavicle, scapula, or humerus"
.9394021,"Venomous animal contact","Fracture of clavicle, scapula, or humerus"
5.874207,"Drowning","Fracture of clavicle, scapula, or humerus"
76.72066,"Road injuries","Fracture of clavicle, scapula, or humerus"
4.643992,"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus"
2.689096,"Other road injuries","Fracture of clavicle, scapula, or humerus"
4.870649,"Interpersonal violence","Fracture of clavicle, scapula, or humerus"
17.55143,"Cyclist road injuries","Fracture of clavicle, scapula, or humerus"
.0786078,"Foreign body in other body part","Fracture of clavicle, scapula, or humerus"
2.115234,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus"
.8853272,"Assault by sharp object","Fracture of clavicle, scapula, or humerus"
25.80847,"Motor vehicle road injuries","Fracture of clavicle, scapula, or humerus"
.1448023,"Poisonings","Fracture of clavicle, scapula, or humerus"
167.0137,"Falls","Fracture of clavicle, scapula, or humerus"
83.02999,"Exposure to mechanical forces","Fracture of clavicle, scapula, or humerus"
17.48572,"Other unintentional injuries","Fracture of clavicle, scapula, or humerus"
5.011049,"Unintentional suffocation","Fracture of clavicle, scapula, or humerus"
18.07033,"Pedestrian road injuries by road vehicle","Fracture of clavicle, scapula, or humerus"
.1098247,"Self-harm","Fracture of clavicle, scapula, or humerus"
.0160489,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus"
12.60133,"Motorcyclist road injuries","Fracture of clavicle, scapula, or humerus"
3.054636,"Animal contact","Fracture of clavicle, scapula, or humerus"
73.88457,"Other exposure to mechanical forces","Fracture of clavicle, scapula, or humerus"
.2327053,"Venomous animal contact","Fracture of face bone"
5.099265,"Other exposure to mechanical forces","Fracture of face bone"
.8420791,"Other unintentional injuries","Fracture of face bone"
