value,source,target
.0199871,"Pedestrian road injuries by road vehicle","Amputation of both lower limbs"
.0000633,"Unintentional suffocation","Amputation of both lower limbs"
.0002673,"Non-venomous animal contact","Amputation of both lower limbs"
.0000667,"Unintentional firearm injuries","Amputation of both lower limbs"
.0001771,"Cyclist road injuries","Amputation of both lower limbs"
5.86e-06,"Assault by firearm","Amputation of both lower limbs"
.0002421,"Self-harm","Amputation of both lower limbs"
.000024,"Venomous animal contact","Amputation of both lower limbs"
.0006063,"Other unintentional injuries","Amputation of both lower limbs"
.0065302,"Other exposure to mechanical forces","Amputation of both lower limbs"
.0024036,"Motor vehicle road injuries","Amputation of both lower limbs"
.0006189,"Falls","Amputation of both lower limbs"
.0005873,"Interpersonal violence","Amputation of both lower limbs"
.0004687,"Fire, heat, and hot substances","Amputation of both lower limbs"
.0002303,"Assault by sharp object","Amputation of both lower limbs"
.0066601,"Exposure to mechanical forces","Amputation of both lower limbs"
.1417009,"Other transport injuries","Amputation of both lower limbs"
.0012387,"Drowning","Amputation of both lower limbs"
.0014873,"Motorcyclist road injuries","Amputation of both lower limbs"
.0029558,"Other road injuries","Amputation of both lower limbs"
.0270108,"Road injuries","Amputation of both lower limbs"
.0002913,"Animal contact","Amputation of both lower limbs"
.0003511,"Assault by other means","Amputation of both lower limbs"
.0175028,"Poisonings","Lower airway burns"
.0046798,"Road injuries","Lower airway burns"
.0000967,"Venomous animal contact","Lower airway burns"
.0042199,"Pulmonary aspiration and foreign body in airway","Lower airway burns"
.0004475,"Animal contact","Lower airway burns"
.0035465,"Assault by other means","Lower airway burns"
.0076187,"Other exposure to mechanical forces","Lower airway burns"
.0019827,"Pedestrian road injuries by road vehicle","Lower airway burns"
.0039085,"Falls","Lower airway burns"
.0165358,"Other transport injuries","Lower airway burns"
.0028011,"Other unintentional injuries","Lower airway burns"
.0040807,"Interpersonal violence","Lower airway burns"
.0000825,"Foreign body in eyes","Lower airway burns"
.009236,"Exposure to mechanical forces","Lower airway burns"
.0016146,"Unintentional firearm injuries","Lower airway burns"
.0008293,"Motorcyclist road injuries","Lower airway burns"
.0005408,"Drowning","Lower airway burns"
.0003112,"Assault by firearm","Lower airway burns"
.0008181,"Cyclist road injuries","Lower airway burns"
.0010469,"Motor vehicle road injuries","Lower airway burns"
.0004483,"Self-harm","Lower airway burns"
2.83e-06,"Other road injuries","Lower airway burns"
.0027779,"Foreign body in other body part","Lower airway burns"
.05756,"Fire, heat, and hot substances","Lower airway burns"
.0003507,"Non-venomous animal contact","Lower airway burns"
.000223,"Assault by sharp object","Lower airway burns"
2.67e-06,"Unintentional suffocation","Lower airway burns"
.0026157,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.7307723,"Other exposure to mechanical forces","Dislocation of hip"
.0157686,"Self-harm","Dislocation of hip"
.6773002,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0303397,"Other road injuries","Dislocation of hip"
2.093784,"Motor vehicle road injuries","Dislocation of hip"
6.721275,"Other unintentional injuries","Dislocation of hip"
.0019692,"Poisonings","Dislocation of hip"
.1761966,"Cyclist road injuries","Dislocation of hip"
5.078847,"Falls","Dislocation of hip"
1.027065,"Exposure to mechanical forces","Dislocation of hip"
.0641778,"Venomous animal contact","Dislocation of hip"
.2353626,"Drowning","Dislocation of hip"
1.686242,"Other transport injuries","Dislocation of hip"
.0043414,"Assault by firearm","Dislocation of hip"
.0644913,"Interpersonal violence","Dislocation of hip"
.2600329,"Unintentional suffocation","Dislocation of hip"
.0327993,"Assault by other means","Dislocation of hip"
.0076683,"Foreign body in other body part","Dislocation of hip"
.0018985,"Foreign body in eyes","Dislocation of hip"
.729193,"Fire, heat, and hot substances","Dislocation of hip"
.3406394,"Non-venomous animal contact","Dislocation of hip"
.0273506,"Assault by sharp object","Dislocation of hip"
.0362599,"Unintentional firearm injuries","Dislocation of hip"
.8091094,"Motorcyclist road injuries","Dislocation of hip"
3.786731,"Road injuries","Dislocation of hip"
.4048171,"Animal contact","Dislocation of hip"
1.097721,"Interpersonal violence","Dislocation of knee"
6.737177,"Fire, heat, and hot substances","Dislocation of knee"
.2908124,"Assault by sharp object","Dislocation of knee"
4.739594,"Motorcyclist road injuries","Dislocation of knee"
3.656423,"Pedestrian road injuries by road vehicle","Dislocation of knee"
7.025092,"Other unintentional injuries","Dislocation of knee"
10.66346,"Other transport injuries","Dislocation of knee"
.1733523,"Foreign body in eyes","Dislocation of knee"
2.155323,"Motor vehicle road injuries","Dislocation of knee"
.6735654,"Assault by other means","Dislocation of knee"
.1333433,"Assault by firearm","Dislocation of knee"
12.62226,"Road injuries","Dislocation of knee"
.1828219,"Other road injuries","Dislocation of knee"
.119423,"Self-harm","Dislocation of knee"
.3140085,"Poisonings","Dislocation of knee"
2.538213,"Non-venomous animal contact","Dislocation of knee"
.6624376,"Unintentional firearm injuries","Dislocation of knee"
4.078055,"Animal contact","Dislocation of knee"
1.362014,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
10.29134,"Other exposure to mechanical forces","Dislocation of knee"
.0574272,"Foreign body in other body part","Dislocation of knee"
1.539842,"Venomous animal contact","Dislocation of knee"
1.888093,"Cyclist road injuries","Dislocation of knee"
10.95398,"Exposure to mechanical forces","Dislocation of knee"
8.035564,"Drowning","Dislocation of knee"
.0002013,"Unintentional suffocation","Dislocation of knee"
62.21515,"Falls","Dislocation of knee"
17.61924,"Other exposure to mechanical forces","Dislocation of shoulder"
.0885348,"Assault by firearm","Dislocation of shoulder"
13.83184,"Animal contact","Dislocation of shoulder"
18.11937,"Drowning","Dislocation of shoulder"
110.3676,"Falls","Dislocation of shoulder"
1.074555,"Other road injuries","Dislocation of shoulder"
