value,source,target
.099405,"Assault by sharp object","Dislocation of hip"
14.67657,"Other unintentional injuries","Dislocation of hip"
.0030352,"Foreign body in eyes","Dislocation of hip"
.0060952,"Poisonings","Dislocation of hip"
3.094835,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0124257,"Foreign body in other body part","Dislocation of hip"
.2348504,"Non-venomous animal contact","Dislocation of hip"
.7830857,"Unintentional suffocation","Dislocation of hip"
.0262007,"Self-harm","Dislocation of hip"
.1155047,"Venomous animal contact","Dislocation of hip"
4.008923,"Exposure to mechanical forces","Dislocation of hip"
.2962761,"Interpersonal violence","Dislocation of hip"
.1819624,"Assault by other means","Dislocation of hip"
19.73829,"Road injuries","Dislocation of hip"
.0532406,"Unintentional firearm injuries","Dislocation of hip"
11.72194,"Falls","Dislocation of hip"
.5424467,"Cyclist road injuries","Dislocation of hip"
4.724172,"Motorcyclist road injuries","Dislocation of hip"
.0149087,"Assault by firearm","Dislocation of hip"
.3503552,"Animal contact","Dislocation of hip"
.0064868,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
11.20443,"Motor vehicle road injuries","Dislocation of hip"
.1790126,"Drowning","Dislocation of hip"
4.675799,"Other transport injuries","Dislocation of hip"
3.172597,"Other exposure to mechanical forces","Dislocation of hip"
.647401,"Fire, heat, and hot substances","Dislocation of hip"
.172407,"Other road injuries","Dislocation of hip"
139.2751,"Falls","Dislocation of knee"
27.31433,"Motorcyclist road injuries","Dislocation of knee"
13.2496,"Fire, heat, and hot substances","Dislocation of knee"
10.75222,"Motor vehicle road injuries","Dislocation of knee"
1.992809,"Interpersonal violence","Dislocation of knee"
.6048828,"Other road injuries","Dislocation of knee"
62.01954,"Road injuries","Dislocation of knee"
.5657229,"Assault by sharp object","Dislocation of knee"
2.349644,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
18.63098,"Pedestrian road injuries by road vehicle","Dislocation of knee"
17.474,"Other unintentional injuries","Dislocation of knee"
8.057139,"Animal contact","Dislocation of knee"
3.475004,"Venomous animal contact","Dislocation of knee"
27.2186,"Other exposure to mechanical forces","Dislocation of knee"
.3489713,"Assault by firearm","Dislocation of knee"
1.291105,"Unintentional firearm injuries","Dislocation of knee"
.2341552,"Foreign body in eyes","Dislocation of knee"
28.51047,"Exposure to mechanical forces","Dislocation of knee"
11.65053,"Drowning","Dislocation of knee"
.135756,"Self-harm","Dislocation of knee"
4.582133,"Non-venomous animal contact","Dislocation of knee"
.4640174,"Poisonings","Dislocation of knee"
