value,source,target
.0014621,"Cyclist road injuries","Amputation of both lower limbs"
1.687767,"Other transport injuries","Amputation of both lower limbs"
.0000307,"Assault by firearm","Amputation of both lower limbs"
.0252232,"Motor vehicle road injuries","Amputation of both lower limbs"
.0164903,"Drowning","Amputation of both lower limbs"
.0332223,"Other exposure to mechanical forces","Amputation of both lower limbs"
.000319,"Unintentional firearm injuries","Amputation of both lower limbs"
.0028469,"Falls","Amputation of both lower limbs"
.0055557,"Animal contact","Amputation of both lower limbs"
.0003343,"Unintentional suffocation","Amputation of both lower limbs"
.0031509,"Other road injuries","Amputation of both lower limbs"
.0012824,"Assault by sharp object","Amputation of both lower limbs"
.0115636,"Motorcyclist road injuries","Amputation of both lower limbs"
.2080829,"Road injuries","Amputation of both lower limbs"
.0050785,"Non-venomous animal contact","Amputation of both lower limbs"
.0031948,"Interpersonal violence","Amputation of both lower limbs"
.0013025,"Self-harm","Amputation of both lower limbs"
.0338756,"Exposure to mechanical forces","Amputation of both lower limbs"
.1666832,"Pedestrian road injuries by road vehicle","Amputation of both lower limbs"
.0079397,"Other unintentional injuries","Amputation of both lower limbs"
.9126763,"Collective violence and legal intervention","Amputation of both lower limbs"
.0004772,"Venomous animal contact","Amputation of both lower limbs"
.0018817,"Assault by other means","Amputation of both lower limbs"
.0132431,"Fire, heat, and hot substances","Amputation of both lower limbs"
.0188663,"Falls","Lower airway burns"
.0354604,"Road injuries","Lower airway burns"
.0151016,"Pedestrian road injuries by road vehicle","Lower airway burns"
.0404372,"Other exposure to mechanical forces","Lower airway burns"
.000013,"Unintentional suffocation","Lower airway burns"
.0141828,"Pulmonary aspiration and foreign body in airway","Lower airway burns"
.005607,"Cyclist road injuries","Lower airway burns"
.0083567,"Animal contact","Lower airway burns"
.0215986,"Interpersonal violence","Lower airway burns"
.0091685,"Motor vehicle road injuries","Lower airway burns"
.0026392,"Non-venomous animal contact","Lower airway burns"
.0122584,"Foreign body in other body part","Lower airway burns"
.0507162,"Other unintentional injuries","Lower airway burns"
.0077446,"Drowning","Lower airway burns"
.0194091,"Assault by other means","Lower airway burns"
.0035484,"Unintentional firearm injuries","Lower airway burns"
.0319109,"Poisonings","Lower airway burns"
.0057175,"Venomous animal contact","Lower airway burns"
.0055654,"Motorcyclist road injuries","Lower airway burns"
.1936813,"Other transport injuries","Lower airway burns"
1.527399,"Fire, heat, and hot substances","Lower airway burns"
1.52e-07,"Exposure to forces of nature","Lower airway burns"
.0008947,"Assault by firearm","Lower airway burns"
.0012948,"Assault by sharp object","Lower airway burns"
.0007418,"Foreign body in eyes","Lower airway burns"
.0439986,"Exposure to mechanical forces","Lower airway burns"
.0023416,"Self-harm","Lower airway burns"
.000018,"Other road injuries","Lower airway burns"
.0403344,"Assault by other means","Dislocation of hip"
.0037071,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.0547654,"Venomous animal contact","Dislocation of hip"
.3005734,"Non-venomous animal contact","Dislocation of hip"
.010718,"Foreign body in other body part","Dislocation of hip"
1.063311,"Pedestrian road injuries by road vehicle","Dislocation of hip"
3.158439,"Motor vehicle road injuries","Dislocation of hip"
.9601557,"Motorcyclist road injuries","Dislocation of hip"
.0186724,"Self-harm","Dislocation of hip"
8.951967,"Other unintentional injuries","Dislocation of hip"
.0032083,"Poisonings","Dislocation of hip"
.0365158,"Assault by sharp object","Dislocation of hip"
.8872168,"Other exposure to mechanical forces","Dislocation of hip"
6.715916,"Falls","Dislocation of hip"
.0293862,"Other road injuries","Dislocation of hip"
1.292637,"Exposure to mechanical forces","Dislocation of hip"
.0061167,"Assault by firearm","Dislocation of hip"
.3502307,"Unintentional suffocation","Dislocation of hip"
.2199423,"Cyclist road injuries","Dislocation of hip"
.8641856,"Fire, heat, and hot substances","Dislocation of hip"
.3553389,"Animal contact","Dislocation of hip"
7.545686,"Collective violence and legal intervention","Dislocation of hip"
5.431233,"Road injuries","Dislocation of hip"
.0023784,"Foreign body in eyes","Dislocation of hip"
1.93e-07,"Exposure to forces of nature","Dislocation of hip"
.0829669,"Interpersonal violence","Dislocation of hip"
.3027232,"Drowning","Dislocation of hip"
.0551891,"Unintentional firearm injuries","Dislocation of hip"
2.0248,"Other transport injuries","Dislocation of hip"
.0741903,"Foreign body in other body part","Dislocation of knee"
1.453118,"Interpersonal violence","Dislocation of knee"
5.080866,"Collective violence and legal intervention","Dislocation of knee"
5.514897,"Pedestrian road injuries by road vehicle","Dislocation of knee"
8.737388,"Drowning","Dislocation of knee"
