value,source,target
.2133079,"Cyclist road injuries","Dislocation of hip"
4.788055,"Road injuries","Dislocation of hip"
.0297927,"Other road injuries","Dislocation of hip"
.0021153,"Foreign body in eyes","Dislocation of hip"
.0434136,"Unintentional firearm injuries","Dislocation of hip"
.8662717,"Fire, heat, and hot substances","Dislocation of hip"
2.737721,"Motor vehicle road injuries","Dislocation of hip"
5.836594,"Falls","Dislocation of hip"
.2857074,"Unintentional suffocation","Dislocation of hip"
.0092967,"Foreign body in other body part","Dislocation of hip"
.4409508,"Animal contact","Dislocation of hip"
.8943817,"Motorcyclist road injuries","Dislocation of hip"
.2477957,"Drowning","Dislocation of hip"
.0026622,"Poisonings","Dislocation of hip"
.0362023,"Assault by sharp object","Dislocation of hip"
.0840603,"Interpersonal violence","Dislocation of hip"
.0414319,"Assault by other means","Dislocation of hip"
1.095275,"Exposure to mechanical forces","Dislocation of hip"
7.97541,"Other unintentional injuries","Dislocation of hip"
.9128526,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0064262,"Assault by firearm","Dislocation of hip"
.0030638,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.0684572,"Venomous animal contact","Dislocation of hip"
.3724937,"Non-venomous animal contact","Dislocation of hip"
.7661537,"Other exposure to mechanical forces","Dislocation of hip"
1.792097,"Other transport injuries","Dislocation of hip"
.0207508,"Self-harm","Dislocation of hip"
72.41814,"Falls","Dislocation of knee"
.1616378,"Self-harm","Dislocation of knee"
8.092825,"Other unintentional injuries","Dislocation of knee"
.0002079,"Unintentional suffocation","Dislocation of knee"
15.20652,"Road injuries","Dislocation of knee"
4.31334,"Animal contact","Dislocation of knee"
5.2037,"Motorcyclist road injuries","Dislocation of knee"
.4427968,"Poisonings","Dislocation of knee"
.0703231,"Foreign body in other body part","Dislocation of knee"
1.640455,"Venomous animal contact","Dislocation of knee"
7.96342,"Drowning","Dislocation of knee"
.4177296,"Assault by sharp object","Dislocation of knee"
11.28549,"Other exposure to mechanical forces","Dislocation of knee"
.1952142,"Other road injuries","Dislocation of knee"
2.236035,"Cyclist road injuries","Dislocation of knee"
1.498208,"Interpersonal violence","Dislocation of knee"
1.425138,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
12.12936,"Exposure to mechanical forces","Dislocation of knee"
11.35603,"Other transport injuries","Dislocation of knee"
.1874945,"Foreign body in eyes","Dislocation of knee"
2.681285,"Motor vehicle road injuries","Dislocation of knee"
.1861117,"Assault by firearm","Dislocation of knee"
.843658,"Unintentional firearm injuries","Dislocation of knee"
.8943669,"Assault by other means","Dislocation of knee"
4.890283,"Pedestrian road injuries by road vehicle","Dislocation of knee"
2.672885,"Non-venomous animal contact","Dislocation of knee"
7.224189,"Fire, heat, and hot substances","Dislocation of knee"
.1308331,"Foreign body in other body part","Dislocation of shoulder"
8.203222,"Non-venomous animal contact","Dislocation of shoulder"
2.227874,"Poisonings","Dislocation of shoulder"
3.873705,"Interpersonal violence","Dislocation of shoulder"
10.6859,"Other unintentional injuries","Dislocation of shoulder"
.9937236,"Assault by sharp object","Dislocation of shoulder"
12.39229,"Motor vehicle road injuries","Dislocation of shoulder"
6.806909,"Venomous animal contact","Dislocation of shoulder"
.0719819,"Foreign body in eyes","Dislocation of shoulder"
.6699347,"Unintentional suffocation","Dislocation of shoulder"
.125393,"Assault by firearm","Dislocation of shoulder"
12.85253,"Motorcyclist road injuries","Dislocation of shoulder"
2.404929,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
.7740092,"Self-harm","Dislocation of shoulder"
130.5922,"Falls","Dislocation of shoulder"
42.29634,"Road injuries","Dislocation of shoulder"
9.381886,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
17.87934,"Other transport injuries","Dislocation of shoulder"
