value,source,target
.0036727,"Poisonings","Dislocation of hip"
.0149377,"Foreign body in other body part","Dislocation of hip"
.3919947,"Animal contact","Dislocation of hip"
11.01329,"Other unintentional injuries","Dislocation of hip"
.3115251,"Cyclist road injuries","Dislocation of hip"
.0963106,"Interpersonal violence","Dislocation of hip"
1.634137,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0609173,"Venomous animal contact","Dislocation of hip"
.0459852,"Assault by other means","Dislocation of hip"
1.059674,"Motorcyclist road injuries","Dislocation of hip"
7.703738,"Road injuries","Dislocation of hip"
.0047155,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
2.048551,"Other transport injuries","Dislocation of hip"
.3310773,"Non-venomous animal contact","Dislocation of hip"
.3903146,"Drowning","Dislocation of hip"
4.657361,"Motor vehicle road injuries","Dislocation of hip"
9.964223,"Falls","Dislocation of hip"
.0079321,"Assault by firearm","Dislocation of hip"
.7370319,"Fire, heat, and hot substances","Dislocation of hip"
.0184438,"Self-harm","Dislocation of hip"
.0423934,"Assault by sharp object","Dislocation of hip"
.4468219,"Unintentional suffocation","Dislocation of hip"
.0646501,"Unintentional firearm injuries","Dislocation of hip"
1.565275,"Exposure to mechanical forces","Dislocation of hip"
.003117,"Foreign body in eyes","Dislocation of hip"
1.053803,"Other exposure to mechanical forces","Dislocation of hip"
.0410423,"Other road injuries","Dislocation of hip"
9.111091,"Other unintentional injuries","Dislocation of knee"
2.21167,"Non-venomous animal contact","Dislocation of knee"
4.741663,"Motor vehicle road injuries","Dislocation of knee"
8.713121,"Pedestrian road injuries by road vehicle","Dislocation of knee"
1.336775,"Venomous animal contact","Dislocation of knee"
10.29202,"Other transport injuries","Dislocation of knee"
1.144949,"Unintentional firearm injuries","Dislocation of knee"
.2472094,"Foreign body in eyes","Dislocation of knee"
107.9528,"Falls","Dislocation of knee"
3.548444,"Animal contact","Dislocation of knee"
5.349703,"Fire, heat, and hot substances","Dislocation of knee"
.1846853,"Assault by firearm","Dislocation of knee"
.0894122,"Foreign body in other body part","Dislocation of knee"
14.97827,"Exposure to mechanical forces","Dislocation of knee"
.3028971,"Other road injuries","Dislocation of knee"
2.860463,"Cyclist road injuries","Dislocation of knee"
13.83309,"Other exposure to mechanical forces","Dislocation of knee"
1.681609,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
.4541463,"Poisonings","Dislocation of knee"
7.529121,"Drowning","Dislocation of knee"
.0002297,"Unintentional suffocation","Dislocation of knee"
.8799335,"Assault by other means","Dislocation of knee"
5.530057,"Motorcyclist road injuries","Dislocation of knee"
.1156871,"Self-harm","Dislocation of knee"
1.557425,"Interpersonal violence","Dislocation of knee"
.4928066,"Assault by sharp object","Dislocation of knee"
22.14821,"Road injuries","Dislocation of knee"
2.27154,"Poisonings","Dislocation of shoulder"
2.78417,"Assault by other means","Dislocation of shoulder"
63.13601,"Road injuries","Dislocation of shoulder"
17.3065,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
2.814646,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
13.21346,"Other unintentional injuries","Dislocation of shoulder"
4.102914,"Interpersonal violence","Dislocation of shoulder"
5.325927,"Venomous animal contact","Dislocation of shoulder"
20.50992,"Motor vehicle road injuries","Dislocation of shoulder"
3.398087,"Unintentional firearm injuries","Dislocation of shoulder"
13.39174,"Motorcyclist road injuries","Dislocation of shoulder"
17.91762,"Other transport injuries","Dislocation of shoulder"
33.25637,"Fire, heat, and hot substances","Dislocation of shoulder"
.1806775,"Foreign body in other body part","Dislocation of shoulder"
10.24668,"Cyclist road injuries","Dislocation of shoulder"
.0925509,"Foreign body in eyes","Dislocation of shoulder"
1.202552,"Assault by sharp object","Dislocation of shoulder"
1.681174,"Other road injuries","Dislocation of shoulder"
6.365461,"Non-venomous animal contact","Dislocation of shoulder"
25.62299,"Other exposure to mechanical forces","Dislocation of shoulder"
18.34155,"Drowning","Dislocation of shoulder"
197.7097,"Falls","Dislocation of shoulder"
11.69139,"Animal contact","Dislocation of shoulder"
.1161913,"Assault by firearm","Dislocation of shoulder"
29.97858,"Exposure to mechanical forces","Dislocation of shoulder"
.9575059,"Unintentional suffocation","Dislocation of shoulder"
.5371991,"Self-harm","Dislocation of shoulder"
3.859722,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
14.78314,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
181.5344,"Falls","Other injuries of muscle & tendon and other dislocations"
18.25948,"Motorcyclist road injuries","Other injuries of muscle & tendon and other dislocations"
8.866572,"Interpersonal violence","Other injuries of muscle & tendon and other dislocations"
7.577406,"Animal contact","Other injuries of muscle & tendon and other dislocations"
.3831059,"Assault by firearm","Other injuries of muscle & tendon and other dislocations"
.2164385,"Poisonings","Other injuries of muscle & tendon and other dislocations"
108.8581,"Exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
.2917118,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations"
107.6479,"Road injuries","Other injuries of muscle & tendon and other dislocations"
8.096629,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations"
2.068887,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations"
14.83046,"Other unintentional injuries","Other injuries of muscle & tendon and other dislocations"
4.116955,"Assault by other means","Other injuries of muscle & tendon and other dislocations"
103.4155,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
.4418081,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
41.89078,"Motor vehicle road injuries","Other injuries of muscle & tendon and other dislocations"
5.000828,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations"
