value,source,target
.242647,"Non-venomous animal contact","Dislocation of hip"
.36288,"Animal contact","Dislocation of hip"
3.504774,"Motorcyclist road injuries","Dislocation of hip"
.5997886,"Unintentional suffocation","Dislocation of hip"
.083041,"Assault by sharp object","Dislocation of hip"
.1365698,"Drowning","Dislocation of hip"
.0117964,"Assault by firearm","Dislocation of hip"
8.250698,"Falls","Dislocation of hip"
.0052382,"Poisonings","Dislocation of hip"
11.98368,"Other unintentional injuries","Dislocation of hip"
3.225687,"Exposure to mechanical forces","Dislocation of hip"
2.575706,"Other exposure to mechanical forces","Dislocation of hip"
2.242045,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.2386105,"Interpersonal violence","Dislocation of hip"
4.409214,"Other transport injuries","Dislocation of hip"
14.90102,"Road injuries","Dislocation of hip"
.5225044,"Fire, heat, and hot substances","Dislocation of hip"
.1316481,"Other road injuries","Dislocation of hip"
.0248566,"Self-harm","Dislocation of hip"
.0022558,"Foreign body in eyes","Dislocation of hip"
.0501933,"Unintentional firearm injuries","Dislocation of hip"
8.605937,"Motor vehicle road injuries","Dislocation of hip"
.4166212,"Cyclist road injuries","Dislocation of hip"
.1437732,"Assault by other means","Dislocation of hip"
.0099903,"Foreign body in other body part","Dislocation of hip"
.120233,"Venomous animal contact","Dislocation of hip"
.0047956,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.000727,"Unintentional suffocation","Dislocation of knee"
107.4762,"Falls","Dislocation of knee"
26.12743,"Exposure to mechanical forces","Dislocation of knee"
.1845545,"Foreign body in eyes","Dislocation of knee"
15.37804,"Other unintentional injuries","Dislocation of knee"
.1391923,"Self-harm","Dislocation of knee"
24.79119,"Other exposure to mechanical forces","Dislocation of knee"
13.53562,"Drowning","Dislocation of knee"
1.792399,"Interpersonal violence","Dislocation of knee"
8.536104,"Motor vehicle road injuries","Dislocation of knee"
.4594327,"Poisonings","Dislocation of knee"
4.333107,"Venomous animal contact","Dislocation of knee"
5.768653,"Non-venomous animal contact","Dislocation of knee"
14.19822,"Pedestrian road injuries by road vehicle","Dislocation of knee"
3.929318,"Cyclist road injuries","Dislocation of knee"
.4814431,"Other road injuries","Dislocation of knee"
10.10176,"Animal contact","Dislocation of knee"
.3390339,"Assault by firearm","Dislocation of knee"
12.99345,"Fire, heat, and hot substances","Dislocation of knee"
49.24478,"Road injuries","Dislocation of knee"
17.365,"Other transport injuries","Dislocation of knee"
2.245249,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
.5082841,"Assault by sharp object","Dislocation of knee"
22.09969,"Motorcyclist road injuries","Dislocation of knee"
.106956,"Foreign body in other body part","Dislocation of knee"
.9450814,"Assault by other means","Dislocation of knee"
1.335523,"Unintentional firearm injuries","Dislocation of knee"
6.258104,"Unintentional firearm injuries","Dislocation of shoulder"
.1843044,"Assault by firearm","Dislocation of shoulder"
32.24567,"Non-venomous animal contact","Dislocation of shoulder"
29.19876,"Cyclist road injuries","Dislocation of shoulder"
.0741313,"Foreign body in eyes","Dislocation of shoulder"
88.39088,"Other exposure to mechanical forces","Dislocation of shoulder"
41.07337,"Motor vehicle road injuries","Dislocation of shoulder"
7.019263,"Other road injuries","Dislocation of shoulder"
2.115588,"Assault by sharp object","Dislocation of shoulder"
178.9499,"Road injuries","Dislocation of shoulder"
.9368099,"Unintentional suffocation","Dislocation of shoulder"
5.218224,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
.2023064,"Foreign body in other body part","Dislocation of shoulder"
29.26287,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
44.97059,"Fire, heat, and hot substances","Dislocation of shoulder"
22.78125,"Venomous animal contact","Dislocation of shoulder"
3.700386,"Poisonings","Dislocation of shoulder"
6.337046,"Assault by other means","Dislocation of shoulder"
72.39561,"Motorcyclist road injuries","Dislocation of shoulder"
331.7058,"Falls","Dislocation of shoulder"
29.76871,"Other unintentional injuries","Dislocation of shoulder"
8.636939,"Interpersonal violence","Dislocation of shoulder"
86.69013,"Drowning","Dislocation of shoulder"
95.5858,"Exposure to mechanical forces","Dislocation of shoulder"
2.051113,"Self-harm","Dislocation of shoulder"
55.02694,"Animal contact","Dislocation of shoulder"
39.03296,"Other transport injuries","Dislocation of shoulder"
4.002969,"Self-harm","Other injuries of muscle & tendon and other dislocations"
.4182191,"Poisonings","Other injuries of muscle & tendon and other dislocations"
.2301151,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations"
12.54016,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
28.0336,"Other unintentional injuries","Other injuries of muscle & tendon and other dislocations"
.9810071,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
212.6856,"Falls","Other injuries of muscle & tendon and other dislocations"
45.24414,"Motor vehicle road injuries","Other injuries of muscle & tendon and other dislocations"
20.90824,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
14.67076,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
258.6608,"Exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
47.18684,"Pedestrian road injuries by road vehicle","Other injuries of muscle & tendon and other dislocations"
3.897653,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations"
15.12686,"Drowning","Other injuries of muscle & tendon and other dislocations"
2.957104,"Other road injuries","Other injuries of muscle & tendon and other dislocations"
12.26707,"Interpersonal violence","Other injuries of muscle & tendon and other dislocations"
7.099751,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations"
2.003526,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations"
13.72138,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations"
4.287382,"Assault by other means","Other injuries of muscle & tendon and other dislocations"
60.81968,"Motorcyclist road injuries","Other injuries of muscle & tendon and other dislocations"
169.9292,"Road injuries","Other injuries of muscle & tendon and other dislocations"
250.7192,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
27.21093,"Animal contact","Other injuries of muscle & tendon and other dislocations"
6.960596,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations"
17.44031,"Other transport injuries","Other injuries of muscle & tendon and other dislocations"
.8799409,"Assault by firearm","Other injuries of muscle & tendon and other dislocations"
4.818836,"Assault by other means","Fracture of clavicle, scapula, or humerus"
.2304297,"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus"
3.370649,"Other road injuries","Fracture of clavicle, scapula, or humerus"
2.376469,"Assault by sharp object","Fracture of clavicle, scapula, or humerus"
32.61768,"Cyclist road injuries","Fracture of clavicle, scapula, or humerus"
195.7935,"Exposure to mechanical forces","Fracture of clavicle, scapula, or humerus"
.0241042,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus"
29.23854,"Other transport injuries","Fracture of clavicle, scapula, or humerus"
